10,10
9,89
99
9,8
8,7
7,6
6,5
5,4
4,3
3,2
2,1
1,0
2,12
12,13
13,23
23,22
22,21
21,11
11,10
21,20
20,30
4,14
14,24
24,25
14,15
15,16
16,26
26,36
36,35
26,27
27,37
16,17
17,18
18,19
19,29
29,28
28,38
38,39
39,49
49,48
48,47
47,46
46,45
45,44
44,34
34,33
33,32
32,31
33,43
43,42
42,41
41,40
40,50
50,51
51,61
61,60
60,70
61,62
62,63
44,54
54,53
53,52
54,55
55,65
65,75
65,66
66,67
55,56
56,57
57,58
58,59
58,68
68,69
69,79
79,78
78,88
88,87
87,77
77,76
87,86
86,85
85,84
84,74
74,64
74,73
73,72
72,82
72,71
71,81
81,91
91,90
90,80
84,94
94,93
93,83
93,92
94,95
95,96
96,97
97,98
98,99
99,89
