33, 63, 7
11, 31, 1
5, 30, 143
39, 47, 15
25, 22, 86
5, 15, 23
13, 0, 146
41, 3, 16
24, 27, 133
29, 30, 145
26, 25, 16
37, 24, 43
28, 11, 105
12, 15, 62
39, 53, 146
1, 49, 85
5, 26, 58
12, 60, 137
3, 28, 127
35, 49, 45
35, 2, 120
39, 37, 54
33, 57, 17
9, 12, 124
19, 22, 101
7, 15, 53
41, 57, 147
20, 21, 36
32, 37, 60
13, 7, 26
17, 1, 16
2, 5, 42
42, 41, 124
37, 12, 115
18, 1, 127
23, 30, 93
21, 28, 104
24, 33, 112
29, 42, 145
26, 4, 145
22, 54, 35
22, 33, 146
44, 59, 36
10, 16, 146
1, 12, 12
13, 35, 54
14, 20, 18
2, 35, 3
29, 12, 122
29, 31, 62
1, 58, 46
37, 56, 5
17, 42, 147
11, 27, 55
6, 38, 34
26, 58, 100
28, 7, 104
28, 25, 30
22, 1, 72
47, 50, 140
3, 2, 43
4, 48, 129
15, 32, 42
12, 42, 23
36, 44, 111
32, 39, 72
10, 44, 4
35, 43, 119
43, 25, 86
