9, 4, 25
32, 60, 110
35, 30, 22
16, 2, 26
28, 18, 18
3, 0, 32
28, 52, 143
28, 27, 14
36, 38, 109
45, 51, 142
28, 5, 22
34, 43, 116
28, 53, 115
40, 60, 137
30, 5, 33
26, 6, 141
31, 28, 24
33, 59, 113
44, 51, 149
23, 3, 115
15, 54, 16
24, 32, 60
28, 15, 56
44, 37, 16
10, 16, 145
1, 30, 52
44, 29, 43
9, 26, 129
14, 34, 74
20, 62, 45
2, 63, 138
43, 44, 95
18, 54, 145
26, 6, 68
14, 19, 143
26, 30, 12
19, 5, 137
38, 13, 94
26, 8, 72
24, 15, 4
33, 56, 33
31, 32, 69
31, 38, 43
18, 47, 71
4, 35, 70
0, 28, 3
41, 7, 92
2, 40, 92
21, 4, 95
45, 42, 94
