42, 35, 31
5, 35, 137
42, 30, 24
36, 20, 5
38, 47, 113
40, 49, 35
2, 57, 62
20, 37, 148
31, 56, 107
15, 14, 66
36, 0, 37
4, 2, 101
4, 25, 103
36, 7, 93
27, 12, 76
33, 50, 50
7, 56, 89
1, 30, 103
38, 9, 67
2, 47, 2
18, 62, 39
42, 13, 115
42, 51, 138
1, 17, 102
45, 51, 30
19, 4, 88
6, 9, 72
38, 62, 99
38, 16, 106
25, 40, 8
16, 33, 43
8, 4, 79
46, 14, 94
1, 4, 3
0, 59, 23
15, 33, 54
12, 22, 26
39, 5, 33
4, 55, 127
42, 29, 25
15, 2, 47
29, 40, 32
16, 43, 98
21, 4, 126
22, 28, 70
44, 14, 34
47, 30, 39
31, 12, 18
38, 4, 76
34, 11, 106
36, 48, 133
25, 4, 141
44, 61, 126
25, 26, 131
40, 15, 1
6, 7, 55
45, 61, 26
27, 31, 3
41, 5, 45
39, 42, 61
3, 49, 86
27, 54, 3
28, 44, 30
27, 32, 135
20, 7, 111
6, 60, 31
18, 39, 0
12, 23, 125
36, 57, 110
