23, 41, 15
 8, 10, 25
 0, 43, 43
32, 45, 55
 6,  4, 63
57, 11, 82
21, 10, 98
61, 37, 105
 1, 19, 108
55, 12, 108
63, 19, 114
 6,  0, 133
 8, 29, 149
19, 25, 163
22, 45, 168
17, 32, 170
 3, 20, 183
50, 34, 197
57, 30, 197
53, 14, 206
54, 17, 213
16, 45, 221
 2,  1, 227
52,  9, 234
22,  2, 249
58, 12, 264
41, 44, 280
18, 31, 289
15,  9, 296
50, 29, 301
55, 19, 319
26, 10, 323
 2, 13, 341
23, 23, 350
52, 36, 361
11, 41, 375
59, 43, 390
44, 25, 401
 7, 14, 406
43, 39, 413
37,  1, 413
15, 40, 428
25,  9, 432
46, 22, 450
32, 20, 461
33, 10, 476
16,  9, 476
17, 23, 480
50,  7, 480
58,  8, 486
16, 45, 493
15,  0, 495
26, 11, 511
36, 23, 513
36, 34, 517
52, 44, 519
57,  6, 519
24, 28, 531
39, 12, 543
35,  7, 562
34, 34, 577
57, 11, 591
28,  9, 595
31, 11, 614
51, 29, 625
44,  8, 632
 7,  2, 638
55, 34, 650
56, 24, 651
58, 10, 662
43, 26, 676
23, 13, 680
53, 37, 680
59, 42, 681
46,  3, 683
22, 10, 700
15,  2, 708
44, 38, 717
25,  6, 720
33,  6, 722
60, 39, 731
53,  6, 737
59, 11, 740
18,  2, 744
 8, 35, 762
 9,  3, 774
43, 18, 776
 1,  3, 776
43, 22, 781
35,  1, 794
43, 29, 806
63,  8, 812
12, 19, 820
44, 10, 825
38, 13, 825
36, 19, 831
57, 16, 840
40,  0, 850
26, 37, 860
25, 30, 877
