20, 38, 12
9, 11, 28
1, 42, 44
31, 46, 53
7, 5, 62
56, 10, 83
20, 9, 99
60, 36, 104
2, 18, 109
54, 11, 109
62, 18, 113
7, 1, 134
9, 28, 148
18, 24, 162
21, 44, 167
16, 31, 169
4, 21, 182
49, 33, 196
56, 29, 196
52, 13, 205
53, 16, 212
15, 44, 220
3, 2, 226
51, 10, 233
21, 3, 248
57, 13, 263
40, 43, 279
19, 32, 288
16, 10, 295
49, 30, 300
54, 18, 318
25, 11, 322
3, 12, 340
22, 24, 349
51, 37, 360
10, 42, 374
58, 42, 391
45, 24, 400
6, 13, 405
42, 38, 414
38, 2, 414
14, 39, 429
24, 10, 433
45, 23, 451
31, 21, 462
32, 11, 477
15, 8, 477
16, 24, 479
49, 8, 481
57, 9, 487
15, 44, 494
14, 1, 496
25, 10, 512
35, 24, 514
35, 33, 518
51, 45, 520
56, 5, 520
23, 27, 532
38, 11, 544
34, 8, 561
33, 35, 576
56, 10, 592
27, 8, 594
30, 12, 613
50, 30, 624
43, 7, 633
6, 3, 639
54, 33, 651
55, 23, 652
57, 9, 661
42, 25, 675
22, 14, 679
52, 38, 681
58, 41, 682
45, 4, 684
21, 11, 701
14, 3, 709
43, 37, 716
24, 7, 721
32, 7, 723
59, 40, 732
52, 7, 738
58, 12, 741
17, 3, 743
7, 34, 763
10, 4, 773
42, 19, 775
2, 2, 777
42, 21, 780
34, 2, 793
42, 28, 805
62, 9, 813
11, 20, 819
43, 11, 826
37, 14, 824
35, 18, 832
56, 15, 841
39, 1, 849
27, 36, 859
24, 29, 878
