29, 48, 3
5, 24, 73
18, 35, 120
40, 13, 77
8, 44, 36
31, 25, 92
19, 15, 110
59, 33, 199
1, 4, 9
57, 22, 85
13, 38, 123
6, 5, 142
8, 17, 79
20, 50, 154
17, 36, 130
21, 19, 111
3, 28, 164
45, 14, 195
34, 23, 192
28, 12, 206
54, 21, 180
9, 31, 170
2, 6, 199
46, 27, 211
23, 9, 234
58, 20, 250
30, 41, 256
11, 42, 203
17, 7, 290
39, 14, 305
56, 32, 320
24, 19, 315
3, 21, 140
18, 13, 150
57, 28, 264
13, 24, 379
53, 21, 400
40, 18, 311
5, 30, 404
43, 37, 413
32, 10, 432
17, 41, 428
24, 13, 434
49, 29, 444
38, 23, 461
35, 20, 476
13, 7, 484
18, 29, 480
54, 10, 460
57, 19, 489
21, 47, 503
20, 4, 515
24, 30, 511
35, 29, 517
52, 33, 519
58, 7, 518
14, 24, 531
38, 12, 543
32, 20, 552
39, 39, 579
50, 14, 595
28, 15, 610
31, 11, 614
46, 28, 624
44, 8, 632
7, 6, 638
55, 37, 651
56, 23, 655
58, 14, 660
42, 19, 676
25, 12, 680
53, 40, 683
59, 30, 688
46, 4, 680
22, 11, 700
15, 3, 707
42, 38, 715
25, 7, 720
33, 6, 726
61, 39, 731
53, 5, 738
59, 11, 740
18, 4, 744
8, 35, 762
10, 3, 774
42, 19, 776
1, 3, 777
43, 22, 781
35, 2, 794
44, 30, 806
63, 7, 812
12, 22, 820
44, 10, 825
38, 13, 825
36, 19, 831
57, 16, 840
40, 0, 850
26, 37, 860
25, 30, 877
17, 70, 888
18, 40, 899
